textID,text,label,label_text,Sentence,Negative,Neutral,Positive,Overall Sentiment,Compound
ddc07db84e,  Hope ur havin fun in da club,2,positive,  Hope ur havin fun in da club,0.0,44.6,55.400000000000006,positive,0.7351
67afe60d31,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,1,neutral,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,6.5,73.0,20.5,positive,0.5332
17d18ba9ef,thinks SG is wonderful,2,positive,thinks SG is wonderful,0.0,44.800000000000004,55.2,positive,0.5719
ab57d75f20,  im really sorry i know wallah how u feel this life is shittttttttt,0,negative,  im really sorry i know wallah how u feel this life is shittttttttt,11.700000000000001,88.3,0.0,negative,-0.1513
f0acd25d8e,Not happy,0,negative,Not happy,75.0,25.0,0.0,negative,-0.4585
cf3b068b03,Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,1,neutral,Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,7.000000000000001,61.1,31.900000000000002,positive,0.7729
d6c34fa875, I`ll oscillate from one to the other.,1,neutral, I`ll oscillate from one to the other.,0.0,100.0,0.0,neutral,0.0
614aed9113,I`m so very tired...and have insomnia.,0,negative,I`m so very tired...and have insomnia.,0.0,100.0,0.0,neutral,0.0
dfa577d3c1, Thanks Ennio,2,positive, Thanks Ennio,0.0,25.6,74.4,positive,0.4404
10dcbe4dfb, you should totally come get me and bring me to kelslaws house with you.,1,neutral, you should totally come get me and bring me to kelslaws house with you.,0.0,100.0,0.0,neutral,0.0
a0bfb12773," You seem nice, you`re generous and you know your stuff",2,positive," You seem nice, you`re generous and you know your stuff",0.0,56.699999999999996,43.3,positive,0.7269
71f4a9b495, U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,1,neutral, U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,0.0,89.2,10.8,positive,0.4404
d33ed264b3,almost got a kitty yesterday...but it didn`t work out,1,neutral,almost got a kitty yesterday...but it didn`t work out,0.0,100.0,0.0,neutral,0.0
77f88ea9e2,"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",1,neutral,"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",0.0,87.0,13.0,positive,0.4019
fe1deac869,   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,2,positive,   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,0.0,58.3,41.699999999999996,positive,0.8513
e591a725ef, i still dont know what we would do though,1,neutral, i still dont know what we would do though,0.0,100.0,0.0,neutral,0.0
2dbb28cc29,"_xo   dang it, so its not certain ? ? ? are you okay?",1,neutral,"_xo   dang it, so its not certain ? ? ? are you okay?",19.1,69.0,11.899999999999999,negative,-0.2818
a7e4ad250a,Change of plans. I am staying in Brandon.  No Papaya Salad for me.,1,neutral,Change of plans. I am staying in Brandon.  No Papaya Salad for me.,15.5,84.5,0.0,negative,-0.296
7d87899024,"Dear rain, you suck. Now I gotta change my plans for tonight",0,negative,"Dear rain, you suck. Now I gotta change my plans for tonight",18.7,64.5,16.8,negative,-0.0772
461b51fa58,at starbucks with my love. eff school. i have work later too.,1,neutral,at starbucks with my love. eff school. i have work later too.,0.0,72.39999999999999,27.6,positive,0.6369
c31d79c440,I just cried whilst watching hollyoaks  .. i need a life! lol,0,negative,I just cried whilst watching hollyoaks  .. i need a life! lol,16.6,63.7,19.7,positive,0.126
32ee7ef6c2,"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",2,positive,"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",0.0,68.8,31.2,positive,0.8225
29f805a7d2,Terminator Salvation... by myself.,1,neutral,Terminator Salvation... by myself.,0.0,100.0,0.0,neutral,0.0
d41fe360e4," for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",0,negative," for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",0.0,100.0,0.0,neutral,0.0
a04c8c8695, Why do I have to enter my registration details every time I update?,1,neutral, Why do I have to enter my registration details every time I update?,0.0,100.0,0.0,neutral,0.0
25e42b2bf2,"On the monday, so i wont be able to be with you!  i love you",2,positive,"On the monday, so i wont be able to be with you!  i love you",0.0,75.7,24.3,positive,0.6696
5843d17b1d," Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",2,positive," Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",0.0,57.199999999999996,42.8,positive,0.8745
474d10ff48, TGIF is right...I think I broke my toe last night - on my bad foot.,1,neutral, TGIF is right...I think I broke my toe last night - on my bad foot.,28.199999999999996,53.7,18.099999999999998,negative,-0.3109
38e69da3a1," Oherr it`s soon then, do you have plans? I had a party on saturday  x",1,neutral," Oherr it`s soon then, do you have plans? I had a party on saturday  x",0.0,83.8,16.2,positive,0.4019
972dc5787d,_LaMont yr very young looking dude,2,positive,_LaMont yr very young looking dude,0.0,100.0,0.0,neutral,0.0
0ba6aaf9aa,": hmmm, wrong link, ignore my tweet",0,negative,": hmmm, wrong link, ignore my tweet",52.800000000000004,47.199999999999996,0.0,negative,-0.6808
7a81537034,AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!,0,negative,AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!,30.8,69.19999999999999,0.0,negative,-0.6996
311d2b185b,Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,0,negative,Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,0.0,75.6,24.4,positive,0.6369
1e46d72ec6," yep, i wish they were all playing dubiln",2,positive," yep, i wish they were all playing dubiln",0.0,42.699999999999996,57.3,positive,0.6908
390f169584, im a lady and ladies don`t move couches. they direct where the couches go,1,neutral, im a lady and ladies don`t move couches. they direct where the couches go,0.0,100.0,0.0,neutral,0.0
58129e4130, Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,2,positive, Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,22.1,22.7,55.2,positive,0.8816
e6c9e5e3ab, 26th February,1,neutral, 26th February,0.0,100.0,0.0,neutral,0.0
cb5e709de8,Guess what? mom adopted a kitty today (11 months) His name is Corky,1,neutral,Guess what? mom adopted a kitty today (11 months) His name is Corky,0.0,100.0,0.0,neutral,0.0
a14b4ff440,Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,2,positive,Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,0.0,50.1,49.9,positive,0.918
5d57a5eda2, Thank you!  I`m working on `s,2,positive, Thank you!  I`m working on `s,0.0,64.2,35.8,positive,0.4199
1e3561e921, lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,1,neutral, lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,0.0,88.7,11.3,positive,0.4215
c2ea5cb58b,Not feeling all that well today,0,negative,Not feeling all that well today,18.3,53.5,28.1,positive,0.1852
cde0016d6d,"http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine. GUM",0,negative,"http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine. GUM",23.7,76.3,0.0,negative,-0.4767
5fc411e8d1,_berland LMAO I know I know,1,neutral,_berland LMAO I know I know,0.0,51.9,48.1,positive,0.6841
5ffb19ae8f,Gnight shar   <(` `<)Vega(>` `)>,1,neutral,Gnight shar   <(` `<)Vega(>` `)>,0.0,100.0,0.0,neutral,0.0
76da985a47,The underwire in my bra is sticking out and poking me in the armpit,0,negative,The underwire in my bra is sticking out and poking me in the armpit,0.0,100.0,0.0,neutral,0.0
3a98aa4762,Happy Mothers Day!!!,2,positive,Happy Mothers Day!!!,0.0,30.4,69.6,positive,0.6784
886545bbab,"Yes, I am",1,neutral,"Yes, I am",0.0,42.6,57.4,positive,0.4019
2afe118dc3, I can`t call Mitch!  Im from sweden!,1,neutral, I can`t call Mitch!  Im from sweden!,0.0,100.0,0.0,neutral,0.0
704c53f4cf,Happy star wars day! May the fourth be with you,2,positive,Happy star wars day! May the fourth be with you,23.1,51.300000000000004,25.6,positive,0.1007
71fa60d9ff,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,1,neutral,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,23.0,65.9,11.1,negative,-0.438
c238c4dbb7,i just watched Marley & Me...i cried so hard!,0,negative,i just watched Marley & Me...i cried so hard!,40.5,59.5,0.0,negative,-0.5801
dc73e85417,Take antibacterial to school to clean your hands when you cant go the loos,1,neutral,Take antibacterial to school to clean your hands when you cant go the loos,0.0,82.8,17.2,positive,0.4019
af63915fa9,I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,1,neutral,I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,0.0,100.0,0.0,neutral,0.0
eb2fc4d281, haaaw..well i get out of class at 10:50..i hope i make it,2,positive, haaaw..well i get out of class at 10:50..i hope i make it,0.0,79.10000000000001,20.9,positive,0.4404
f9382a1f7b,"oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent",1,neutral,"oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent",4.3999999999999995,69.89999999999999,25.7,positive,0.7772
54670ca807,skype call with billie but my webcam dont work,1,neutral,skype call with billie but my webcam dont work,0.0,100.0,0.0,neutral,0.0
3ab338c459,"Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood",2,positive,"Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood",0.0,72.2,27.800000000000004,positive,0.8439
c7c7f7f025,FML not having a car is prohibiting finding a job,0,negative,FML not having a car is prohibiting finding a job,0.0,100.0,0.0,neutral,0.0
1256e6a4d2,"  lol since I got twitter a little while ago, it seems like loads of people setting up an account",1,neutral,"  lol since I got twitter a little while ago, it seems like loads of people setting up an account",0.0,76.2,23.799999999999997,positive,0.6486
990cdeae87, I want to see David cook!!,2,positive, I want to see David cook!!,0.0,72.6,27.400000000000002,positive,0.2225
9a55d83c79, yeh me 2,1,neutral, yeh me 2,0.0,100.0,0.0,neutral,0.0
c8307a482d, learning tat the scenic way  din plan to go town but somehow was herded there?,1,neutral, learning tat the scenic way  din plan to go town but somehow was herded there?,0.0,100.0,0.0,neutral,0.0
0a21b662a4," i don`t want to do anything specific, i just want to see you and puppy!",1,neutral," i don`t want to do anything specific, i just want to see you and puppy!",0.0,81.8,18.2,positive,0.2244
297f7d9e0f, yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,0,negative, yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,7.199999999999999,76.9,15.8,positive,0.2263
68901906a4,Toy Story 3 trailer premiered with Up. I need my computer back.,1,neutral,Toy Story 3 trailer premiered with Up. I need my computer back.,0.0,100.0,0.0,neutral,0.0
3112944847,ughh on the phone with HP!,1,neutral,ughh on the phone with HP!,0.0,100.0,0.0,neutral,0.0
8f8334ffa2,And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart',1,neutral,And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart',0.0,73.0,27.0,positive,0.8126
322546026e, yay about breaking 200!,2,positive, yay about breaking 200!,0.0,44.800000000000004,55.2,positive,0.5707
e6c154f9be, bahah sadly I am not,0,negative, bahah sadly I am not,41.199999999999996,58.8,0.0,negative,-0.4215
e96d849b35, i always have those for my Champions League parties  Tis awesome,2,positive, i always have those for my Champions League parties  Tis awesome,0.0,44.0,56.00000000000001,positive,0.8807
124e30d941," well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",2,positive," well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",0.0,77.5,22.5,positive,0.7263
fbb5742bbb,_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,1,neutral,_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,0.0,100.0,0.0,neutral,0.0
e90acf3c42, thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,0,negative, thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,0.0,87.1,12.9,positive,0.5499
0b0944285d,might have to go back much earlier than expected. bye bye bay area,1,neutral,might have to go back much earlier than expected. bye bye bay area,0.0,100.0,0.0,neutral,0.0
a11da2d3bf,"Playin City of Villains, wishin my buddies were playin with me.....",2,positive,"Playin City of Villains, wishin my buddies were playin with me.....",30.599999999999998,69.39999999999999,0.0,negative,-0.6597
161bfc7c8a," yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously",2,positive," yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously",6.4,56.599999999999994,37.0,positive,0.7964
4a65010643, riley hacked my twitter!  hahaha :],1,neutral, riley hacked my twitter!  hahaha :],21.099999999999998,23.5,55.400000000000006,positive,0.6588
1b460c82f0,Big Sad Face   Bing doesn`t work on iPhone.  It just takes you to the regular mobile Live search.,1,neutral,Big Sad Face   Bing doesn`t work on iPhone.  It just takes you to the regular mobile Live search.,15.4,84.6,0.0,negative,-0.4767
43e91a5488, I liked it.  Did you record it yourself?  If so you have a very soothing voice.,2,positive, I liked it.  Did you record it yourself?  If so you have a very soothing voice.,0.0,72.2,27.800000000000004,positive,0.659
410dd99aa3,man im so sad school is ending  but then again high school might be better :O,1,neutral,man im so sad school is ending  but then again high school might be better :O,23.599999999999998,59.0,17.5,negative,-0.0888
b3eadfc565," Folks thought it was hilarious when I told them the story, and then they saw the shirt I wore tonight.  Laughter all night.",2,positive," Folks thought it was hilarious when I told them the story, and then they saw the shirt I wore tonight.  Laughter all night.",0.0,78.10000000000001,21.9,positive,0.7096
480894125b, you`re the absoute best,2,positive, you`re the absoute best,0.0,41.699999999999996,58.3,positive,0.6369
001617fca4,oh my god!!! i cried so much!!! watch this guys from BGT  http://bit.ly/5t5Xz,1,neutral,oh my god!!! i cried so much!!! watch this guys from BGT  http://bit.ly/5t5Xz,22.3,65.2,12.4,negative,-0.3956
52f2f23473,My near daily exercise is starting to show results.,1,neutral,My near daily exercise is starting to show results.,0.0,100.0,0.0,neutral,0.0
e7e27b0c91, Welcome!,2,positive, Welcome!,0.0,0.0,100.0,positive,0.5093
834dc73c0c,Bout to hit pmark then make one of my final meals wit the housemates..,1,neutral,Bout to hit pmark then make one of my final meals wit the housemates..,0.0,100.0,0.0,neutral,0.0
aeb0e9d730,: you get to go home and i have to go to work,1,neutral,: you get to go home and i have to go to work,0.0,100.0,0.0,neutral,0.0
c672c9da1d,voted for  on CMT.com,1,neutral,voted for  on CMT.com,0.0,100.0,0.0,neutral,0.0
cbee1946d3,"just got home from a nice party, just not tired yet",2,positive,"just got home from a nice party, just not tired yet",0.0,50.3,49.7,positive,0.7849
b1999f0951,Now I have a sunburn,0,negative,Now I have a sunburn,0.0,100.0,0.0,neutral,0.0
25510fbf89,I have the Job  this is a nice day it can not be better,2,positive,I have the Job  this is a nice day it can not be better,14.000000000000002,69.69999999999999,16.3,positive,0.1012
bcb9426abb,I wish I could go to #BEA this weekend.,2,positive,I wish I could go to #BEA this weekend.,0.0,74.8,25.2,positive,0.4019
0d29624200,"I <3 Rupert Grint......& of the boy, Ive accepted tht I do fancy him  But im certain he doesnt feel the same so its not worth telling him",1,neutral,"I <3 Rupert Grint......& of the boy, Ive accepted tht I do fancy him  But im certain he doesnt feel the same so its not worth telling him",7.3999999999999995,73.7,18.9,positive,0.4128
3f0f5891ab, love your books,2,positive, love your books,0.0,32.300000000000004,67.7,positive,0.6369
0b34e66ea3,ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? A jerk!,0,negative,ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? A jerk!,11.799999999999999,78.60000000000001,9.6,negative,-0.126
11de8c0456,Im Slowing on My Tweets..Cuase I Lost My Phone,0,negative,Im Slowing on My Tweets..Cuase I Lost My Phone,22.3,77.7,0.0,negative,-0.3182
d5712716e9, well thank your phone for me.,2,positive, well thank your phone for me.,0.0,46.5,53.5,positive,0.5574
3f90f95beb, why would they take a photo with stuffed animals?! that`s pretty funny,2,positive, why would they take a photo with stuffed animals?! that`s pretty funny,0.0,61.0,39.0,positive,0.75
c108e09b19,TweetDeck is acting really strange! Hum........ reinstall maybe. Update on the horizon? Or is it just another Adobe memory leak,1,neutral,TweetDeck is acting really strange! Hum........ reinstall maybe. Update on the horizon? Or is it just another Adobe memory leak,21.0,79.0,0.0,negative,-0.5838
7223fdccc2,tikcets are only ï¿½91...each...BUT I SO WANT TO GO,2,positive,tikcets are only ï¿½91...each...BUT I SO WANT TO GO,0.0,69.1,30.9,positive,0.5535
f254748cdb, Happy Mothers Day,2,positive, Happy Mothers Day,0.0,35.099999999999994,64.9,positive,0.5719
256453d14f, It`s gonna be hot here today too. today is Ryan`s last day of pre-k. I can`t believe it!  I`ve been a SAHM since I had him!,0,negative, It`s gonna be hot here today too. today is Ryan`s last day of pre-k. I can`t believe it!  I`ve been a SAHM since I had him!,0.0,100.0,0.0,neutral,0.0
8fd01857a9,is dreaming of the weekend... awake!,1,neutral,is dreaming of the weekend... awake!,0.0,100.0,0.0,neutral,0.0
37227c0dbf,"Oh, **** me. I`ve just returned from the Supermarket Of Doom to find that I have nothing to drink here.",0,negative,"Oh, **** me. I`ve just returned from the Supermarket Of Doom to find that I have nothing to drink here.",12.4,87.6,0.0,negative,-0.4019
20aff2fcb1, yay but you missed naptime,1,neutral, yay but you missed naptime,35.0,37.5,27.500000000000004,negative,-0.1531
ca223af36e,"D-group Saturday`s, with a little bit of football, an hour nap, 3 hours of soccer, basketball in the TSU and Yogurtland... Life`s Good",2,positive,"D-group Saturday`s, with a little bit of football, an hour nap, 3 hours of soccer, basketball in the TSU and Yogurtland... Life`s Good",0.0,88.4,11.600000000000001,positive,0.4404
90977e9614,just set up a new computer again. 15min. I love Norton Ghost.,2,positive,just set up a new computer again. 15min. I love Norton Ghost.,13.900000000000002,60.6,25.5,positive,0.4404
433b1ab9ea,Ahhh my mommie got me new sheets for my bed  so comfy,2,positive,Ahhh my mommie got me new sheets for my bed  so comfy,0.0,100.0,0.0,neutral,0.0
37771d1bc1,_celeste  finally some sleep in silence,1,neutral,_celeste  finally some sleep in silence,0.0,100.0,0.0,neutral,0.0
fa99046452,im just up :-| and its 12:43 :O  im so lazy thank god its a bank holiday,1,neutral,im just up :-| and its 12:43 :O  im so lazy thank god its a bank holiday,26.0,43.2,30.8,positive,0.2996
14760477ad,is pretty dang tired. but chambers class is for napping.,0,negative,is pretty dang tired. but chambers class is for napping.,16.2,66.4,17.4,neutral,0.0387
da908a6635,i have to poop...   is hogging the shitter,0,negative,i have to poop...   is hogging the shitter,0.0,100.0,0.0,neutral,0.0
2053a455e9,YES! Im down to 50% full on my dvr  i was at 98% like 3 days ago... lol I swear if I didnt have a dvr I would never watch tv,1,neutral,YES! Im down to 50% full on my dvr  i was at 98% like 3 days ago... lol I swear if I didnt have a dvr I would never watch tv,3.2,72.5,24.2,positive,0.8327
1ea547383b,Happy muthath`s day to all moms!!! I salute you!,2,positive,Happy muthath`s day to all moms!!! I salute you!,0.0,62.2,37.8,positive,0.7067
6634c62acf,Hahaha! Alright  ..,2,positive,Hahaha! Alright  ..,0.0,14.499999999999998,85.5,positive,0.7088
c7240790da, Aren`t you suppossed to support the local economy ... LOL ... good for you and congrats,2,positive, Aren`t you suppossed to support the local economy ... LOL ... good for you and congrats,0.0,48.9,51.1,positive,0.9106
08ede23635, good to know   thanks,2,positive, good to know   thanks,0.0,25.6,74.4,positive,0.7003
4e87dcff0e, what are you? flavor of the day?,1,neutral, what are you? flavor of the day?,0.0,100.0,0.0,neutral,0.0
